Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
04/04/2022,HLAL,PHM,745867101,PULTE GROUP INC,2914,42.37,123466.18,0.07%,174887160,4200000,168,
04/04/2022,HLAL,PKG,695156109,PACKAGING CORP AMER,1103,155.76,171803.28,0.10%,174887160,4200000,168,
04/04/2022,HLAL,PKI,714046109,PERKINELMER INC,1483,171.57,254438.31,0.15%,174887160,4200000,168,
04/04/2022,HLAL,PLD,74340W103,PROLOGIS INC.,8680,165.8,1439144,0.82%,174887160,4200000,168,
04/04/2022,HLAL,PNR,G7S00T104,PENTAIR PLC,1945,54.88,106741.6,0.06%,174887160,4200000,168,
04/04/2022,HLAL,PNW,723484101,PINNACLE WEST CAP CORP,1325,79.32,105099,0.06%,174887160,4200000,168,
04/04/2022,HLAL,POOL,73278L105,POOL CORP,458,425.03,194663.74,0.11%,174887160,4200000,168,
04/04/2022,HLAL,PPG,693506107,PPG INDS INC,2785,134.01,373217.85,0.21%,174887160,4200000,168,
04/04/2022,HLAL,PPL,69351T106,PPL CORP,8847,29.02,256739.94,0.15%,174887160,4200000,168,
04/04/2022,HLAL,PSA,74460D109,PUBLIC STORAGE,1774,396.51,703408.74,0.40%,174887160,4200000,168,
04/04/2022,HLAL,PSX,718546104,PHILLIPS 66,5498,85.96,472608.08,0.27%,174887160,4200000,168,
04/04/2022,HLAL,PTC,69370C100,PTC INC,1240,106.77,132394.8,0.08%,174887160,4200000,168,
04/04/2022,HLAL,PTON,70614W100,PELOTON INTERACTIVE INC,3502,26.31,92137.62,0.05%,174887160,4200000,168,
04/04/2022,HLAL,PXD,723787107,PIONEER NAT RES CO,2540,253.15,643001,0.37%,174887160,4200000,168,
04/04/2022,HLAL,QCOM,747525103,QUALCOMM INC,13286,146.99,1952909.14,1.12%,174887160,4200000,168,
04/04/2022,HLAL,REG,758849103,REGENCY CTRS CORP,1986,71.84,142674.24,0.08%,174887160,4200000,168,
04/04/2022,HLAL,REGN,75886F107,REGENERON PHARMACEUTICALS,1204,694.83,836575.32,0.48%,174887160,4200000,168,
04/04/2022,HLAL,RHI,770323103,ROBERT HALF INTL INC,1275,113.63,144878.25,0.08%,174887160,4200000,168,
04/04/2022,HLAL,RMD,761152107,RESMED INC,1693,246.44,417222.92,0.24%,174887160,4200000,168,
04/04/2022,HLAL,ROK,773903109,ROCKWELL AUTOMATION INC,1366,284.48,388599.68,0.22%,174887160,4200000,168,
04/04/2022,HLAL,ROL,775711104,ROLLINS INC,2665,34.81,92768.65,0.05%,174887160,4200000,168,
04/04/2022,HLAL,SCCO,84265V105,SOUTHERN COPPER CORP,990,78.17,77388.3,0.04%,174887160,4200000,168,
04/04/2022,HLAL,SEDG,83417M104,SOLAREDGE TECHNOLOGIES INC,612,322.83,197571.96,0.11%,174887160,4200000,168,
04/04/2022,HLAL,SJM,832696405,SMUCKER J M CO,1234,137.51,169687.34,0.10%,174887160,4200000,168,
04/04/2022,HLAL,SLB,806857108,SCHLUMBERGER LTD,16470,41.69,686634.3,0.39%,174887160,4200000,168,
04/04/2022,HLAL,SNA,833034101,SNAP ON INC,620,203.7,126294,0.07%,174887160,4200000,168,
04/04/2022,HLAL,SNPS,871607107,SYNOPSYS INC,1785,334.98,597939.3,0.34%,174887160,4200000,168,
04/04/2022,HLAL,ST,G8060N102,SENSATA TECHNOLOGIES HLDG PLC SHS,1829,50.56,92474.24,0.05%,174887160,4200000,168,
04/04/2022,HLAL,STE,G8473T100,STERIS PLC,1011,248,250728,0.14%,174887160,4200000,168,
04/04/2022,HLAL,STLD,858119100,STEEL DYNAMICS INC,2218,84.99,188507.82,0.11%,174887160,4200000,168,
04/04/2022,HLAL,SWK,854502101,STANLEY BLACK & DECKER INC,1899,140.9,267569.1,0.15%,174887160,4200000,168,
04/04/2022,HLAL,SYK,863667101,STRYKER CORPORATION,4106,269.05,1104719.3,0.63%,174887160,4200000,168,
04/04/2022,HLAL,TDOC,87918A105,TELADOC HEALTH INC,1777,73.77,131089.29,0.07%,174887160,4200000,168,
04/04/2022,HLAL,TECH,09073M104,BIO-TECHNE CORP,460,433.27,199304.2,0.11%,174887160,4200000,168,
04/04/2022,HLAL,TEL,H84989104,TE CONNECTIVITY LTD,3838,131.82,505925.16,0.29%,174887160,4200000,168,
04/04/2022,HLAL,TER,880770102,TERADYNE INC,1917,116.37,223081.29,0.13%,174887160,4200000,168,
04/04/2022,HLAL,TFX,879369106,TELEFLEX INCORPORATED,550,354.82,195151,0.11%,174887160,4200000,168,
04/04/2022,HLAL,TJX,872540109,TJX COS INC NEW,14046,60.89,855260.94,0.49%,174887160,4200000,168,
04/04/2022,HLAL,TMO,883556102,THERMO FISHER SCIENTIFIC INC COM,4627,592.34,2740757.18,1.57%,174887160,4200000,168,
04/04/2022,HLAL,TRMB,896239100,TRIMBLE INC,2946,72.78,214409.88,0.12%,174887160,4200000,168,
04/04/2022,HLAL,TSCO,892356106,TRACTOR SUPPLY CO,1335,226.71,302657.85,0.17%,174887160,4200000,168,
04/04/2022,HLAL,TSLA,88160R101,TESLA INC,9803,1084.59,10632235.77,6.08%,174887160,4200000,168,
04/04/2022,HLAL,TT,G8994E103,TRANE TECHNOLOGIES PLC,2743,154.85,424753.55,0.24%,174887160,4200000,168,
04/04/2022,HLAL,TYL,902252105,TYLER TECHNOLOGIES INC,473,443.94,209983.62,0.12%,174887160,4200000,168,
04/04/2022,HLAL,UAL,910047109,UNITED AIRLS HLDGS INC,954,45.78,43674.12,0.02%,174887160,4200000,168,
04/04/2022,HLAL,UBER,90353T100,UBER TECHNOLOGIES INC,19000,35.98,683620,0.39%,174887160,4200000,168,
04/04/2022,HLAL,UHS,913903100,UNIVERSAL HLTH SVCS INC,836,144.18,120534.48,0.07%,174887160,4200000,168,
04/04/2022,HLAL,UI,90353W103,UBIQUITI INC,76,290.33,22065.08,0.01%,174887160,4200000,168,
04/04/2022,HLAL,ULTA,90384S303,ULTA BEAUTY INC,618,388.22,239919.96,0.14%,174887160,4200000,168,
04/04/2022,HLAL,UPS,911312106,UNITED PARCEL SERVICE INC,8523,206.64,1761192.72,1.01%,174887160,4200000,168,
04/04/2022,HLAL,VFC,918204108,V F CORP,3810,56.54,215417.4,0.12%,174887160,4200000,168,
04/04/2022,HLAL,VLO,91913Y100,VALERO ENERGY CORP,4804,101.27,486501.08,0.28%,174887160,4200000,168,
04/04/2022,HLAL,VMC,929160109,VULCAN MATLS CO,1556,184.18,286584.08,0.16%,174887160,4200000,168,
04/04/2022,HLAL,WAB,929740108,WABTEC,2109,95.44,201282.96,0.12%,174887160,4200000,168,
04/04/2022,HLAL,WBA,931427108,WALGREENS BOOTS ALLIANCE INC COM,8444,43.86,370353.84,0.21%,174887160,4200000,168,
04/04/2022,HLAL,WDC,958102105,WESTERN DIGITAL CORP.,3671,48.39,177639.69,0.10%,174887160,4200000,168,
04/04/2022,HLAL,WHR,963320106,WHIRLPOOL CORP,675,172.44,116397,0.07%,174887160,4200000,168,
04/04/2022,HLAL,WLK,960413102,WESTLAKE CORPORATION,390,123.64,48219.6,0.03%,174887160,4200000,168,
04/04/2022,HLAL,WRK,96145D105,WESTROCK CO,3059,47.19,144354.21,0.08%,174887160,4200000,168,
04/04/2022,HLAL,WST,955306105,WEST PHARMACEUTICAL SVSC INC COM,865,417.03,360730.95,0.21%,174887160,4200000,168,
04/04/2022,HLAL,WY,962166104,WEYERHAEUSER CO MTN BE,8816,38.02,335184.32,0.19%,174887160,4200000,168,
04/04/2022,HLAL,XOM,30231G102,EXXON MOBIL CORP,49875,83.12,4145610,2.37%,174887160,4200000,168,
04/04/2022,HLAL,XRAY,24906P109,DENTSPLY SIRONA INC,2557,49.25,125932.25,0.07%,174887160,4200000,168,
04/04/2022,HLAL,XYL,98419M100,XYLEM INC,2106,86.23,181600.38,0.10%,174887160,4200000,168,
04/04/2022,HLAL,YNDX,N97284108,YANDEX N V,3809,0,0,0.00%,174887160,4200000,168,
04/04/2022,HLAL,Z,98954M200,ZILLOW GROUP INC,1959,48.93,95853.87,0.05%,174887160,4200000,168,
04/04/2022,HLAL,ZBH,98956P102,ZIMMER BIOMET HOLDINGS INC,2456,127.73,313704.88,0.18%,174887160,4200000,168,
04/04/2022,HLAL,ZBRA,989207105,ZEBRA TECHNOLOGIES CORPORATION CL A,626,413.73,258994.98,0.15%,174887160,4200000,168,
04/04/2022,HLAL,ZG,98954M101,ZILLOW GROUP INC,699,47.89,33475.11,0.02%,174887160,4200000,168,
04/04/2022,HLAL,ZI,98980F104,ZOOMINFO TECHNOLOGIES INC,1147,60.04,68865.88,0.04%,174887160,4200000,168,
04/04/2022,HLAL,ZIMV,98888T107,ZIMVIE INC,246,23.98,5899.08,0.00%,174887160,4200000,168,
